
INFO: Parsed 9109 items from F:\interlude\PTSscriptIT\script\itemdata.txt
INFO: Processing F:\projects\lucera3\dist\gameserver\data\items\0-99.xml...
WARN: No destroyable key in 1
WARN: No dropable key in 1
WARN: No tradeable key in 1
WARN: No crystal_count key in 1
WARN: No destroyable key in 2
WARN: No dropable key in 2
WARN: No tradeable key in 2
WARN: No crystal_count key in 2
WARN: No destroyable key in 3
WARN: No dropable key in 3
WARN: No tradeable key in 3
WARN: No crystal_count key in 3
WARN: No destroyable key in 4
WARN: No dropable key in 4
WARN: No tradeable key in 4
WARN: No crystal_count key in 4
WARN: No destroyable key in 5
WARN: No dropable key in 5
WARN: No tradeable key in 5
WARN: No crystal_count key in 5
WARN: No destroyable key in 6
WARN: No crystal_count key in 6
WARN: No destroyable key in 7
WARN: No dropable key in 7
WARN: No tradeable key in 7
WARN: No crystal_count key in 7
WARN: No destroyable key in 8
WARN: No dropable key in 8
WARN: No tradeable key in 8
WARN: No crystal_count key in 8
WARN: No destroyable key in 9
WARN: No dropable key in 9
WARN: No tradeable key in 9
WARN: No crystal_count key in 9
WARN: No destroyable key in 10
WARN: No crystal_count key in 10
WARN: No destroyable key in 11
WARN: No dropable key in 11
WARN: No tradeable key in 11
WARN: No crystal_count key in 11
WARN: No destroyable key in 12
WARN: No dropable key in 12
WARN: No tradeable key in 12
WARN: No crystal_count key in 12
WARN: No destroyable key in 13
WARN: No dropable key in 13
WARN: No tradeable key in 13
WARN: No crystal_count key in 13
WARN: No destroyable key in 14
WARN: No dropable key in 14
WARN: No tradeable key in 14
WARN: No crystal_count key in 14
WARN: No destroyable key in 15
WARN: No dropable key in 15
WARN: No tradeable key in 15
WARN: No crystal_count key in 15
WARN: No destroyable key in 16
WARN: No dropable key in 16
WARN: No tradeable key in 16
WARN: No crystal_count key in 16
WARN: No destroyable key in 17
WARN: No dropable key in 17
WARN: No tradeable key in 17
WARN: No crystal_count key in 17
WARN: No destroyable key in 18
WARN: No dropable key in 18
WARN: No tradeable key in 18
WARN: No crystal_count key in 18
WARN: No destroyable key in 19
WARN: No dropable key in 19
WARN: No tradeable key in 19
WARN: No crystal_count key in 19
WARN: No destroyable key in 20
WARN: No dropable key in 20
WARN: No tradeable key in 20
WARN: No crystal_count key in 20
WARN: No destroyable key in 21
WARN: No dropable key in 21
WARN: No tradeable key in 21
WARN: No crystal_count key in 21
WARN: No destroyable key in 22
WARN: No dropable key in 22
WARN: No tradeable key in 22
WARN: No crystal_count key in 22
WARN: No destroyable key in 23
WARN: No dropable key in 23
WARN: No tradeable key in 23
WARN: No crystal_count key in 23
WARN: No destroyable key in 24
WARN: No dropable key in 24
WARN: No tradeable key in 24
WARN: No crystal_count key in 24
WARN: No destroyable key in 25
WARN: No dropable key in 25
WARN: No tradeable key in 25
WARN: No crystal_count key in 25
WARN: No destroyable key in 26
WARN: No dropable key in 26
WARN: No tradeable key in 26
WARN: No crystal_count key in 26
WARN: No destroyable key in 27
WARN: No dropable key in 27
WARN: No tradeable key in 27
WARN: No crystal_count key in 27
WARN: No destroyable key in 28
WARN: No dropable key in 28
WARN: No tradeable key in 28
WARN: No crystal_count key in 28
WARN: No destroyable key in 29
WARN: No dropable key in 29
WARN: No tradeable key in 29
WARN: No crystal_count key in 29
WARN: No destroyable key in 30
WARN: No dropable key in 30
WARN: No tradeable key in 30
WARN: No crystal_count key in 30
WARN: No destroyable key in 31
WARN: No dropable key in 31
WARN: No tradeable key in 31
WARN: No crystal_count key in 31
WARN: No destroyable key in 32
